nom_cabina,country,Commons category,population,calidad_aire,codi_dtes,zqa,codi_eoi,longitud,latitud,hora_o3,calidad_o3,valor_o3,hora_no2,calidad_no2,valor_no2,hora_pm10,calidad_pm10,valor_pm10,generat,dateTime
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,--,ID,01,08019042,2.1331,41.3788,NA,NA,NA,7h,--,--,NA,NA,NA,11/06/2018 9:00,1528700703
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,8h,Buena,37 µg/m³,8h,Bona,62 µg/m³,9h,Buena,26 µg/m³,11/06/2018 9:00,1528700703
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,8h,Buena,51 µg/m³,8h,Bona,44 µg/m³,9h,Buena,23 µg/m³,11/06/2018 9:00,1528700703
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,8h,Buena,27 µg/m³,8h,Bona,40 µg/m³,NA,NA,NA,11/06/2018 9:00,1528700703
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,8h,Buena,22 µg/m³,8h,Bona,54 µg/m³,9h,Buena,18 µg/m³,11/06/2018 9:00,1528700703
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,8h,Buena,22 µg/m³,8h,Bona,61 µg/m³,9h,Buena,20 µg/m³,11/06/2018 9:00,1528700703
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,8h,Bona,65 µg/m³,9h,Buena,21 µg/m³,11/06/2018 9:00,1528700703
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,10h,Bona,34 µg/m³,NA,NA,NA,11/06/2018 10:00,1528704305
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,10h,Buena,36 µg/m³,10h,Bona,60 µg/m³,10h,Buena,27 µg/m³,11/06/2018 10:00,1528704305
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,10h,Buena,50 µg/m³,10h,Bona,38 µg/m³,10h,Buena,23 µg/m³,11/06/2018 10:00,1528704305
