parkName,same_as_wikidata_parkName,species,same_as_wikidata_species,treeCount
El Retiro Park,https://wikidata.org/entity/Q1131807,Aesculus hippocastanum,https://wikidata.org/entity/Q26899,5715
El Retiro Park,https://wikidata.org/entity/Q1131807,Platanus × hispanica,https://wikidata.org/entity/Q161374,971
El Retiro Park,https://wikidata.org/entity/Q1131807,Cercis siliquastrum,https://wikidata.org/entity/Q29488,692
El Retiro Park,https://wikidata.org/entity/Q1131807,Celtis australis,https://wikidata.org/entity/Q255375,588
El Retiro Park,https://wikidata.org/entity/Q1131807,Cupressus sempervirens,https://wikidata.org/entity/Q147513,537
El Retiro Park,https://wikidata.org/entity/Q1131807,Gleditsia triacanthos,https://wikidata.org/entity/Q157650,508
El Retiro Park,https://wikidata.org/entity/Q1131807,Ulmus minor,https://wikidata.org/entity/Q147487,429
El Retiro Park,https://wikidata.org/entity/Q1131807,Styphnolobium japonicum,https://wikidata.org/entity/Q288558,392
El Retiro Park,https://wikidata.org/entity/Q1131807,Pinus pinea,https://wikidata.org/entity/Q106094,346
El Retiro Park,https://wikidata.org/entity/Q1131807,Ulmus pumila,https://wikidata.org/entity/Q1079824,328
El Retiro Park,https://wikidata.org/entity/Q1131807,Acer campestre,https://wikidata.org/entity/Q158785,321
El Retiro Park,https://wikidata.org/entity/Q1131807,Otros,,5498
Parque del Oeste,https://wikidata.org/entity/Q2369398,Pinus pinea,https://wikidata.org/entity/Q106094,938
Parque del Oeste,https://wikidata.org/entity/Q2369398,Styphnolobium japonicum,https://wikidata.org/entity/Q288558,797
Parque del Oeste,https://wikidata.org/entity/Q2369398,Platanus × hispanica,https://wikidata.org/entity/Q161374,556
Parque del Oeste,https://wikidata.org/entity/Q2369398,Ligustrum japonicum,https://wikidata.org/entity/Q1209219,395
Parque del Oeste,https://wikidata.org/entity/Q2369398,Populus alba 'Bolleana',,390
Parque del Oeste,https://wikidata.org/entity/Q2369398,Cedrus deodara,https://wikidata.org/entity/Q146935,346
Parque del Oeste,https://wikidata.org/entity/Q2369398,Celtis australis,https://wikidata.org/entity/Q255375,296
Parque del Oeste,https://wikidata.org/entity/Q2369398,Prunus cerasifera  subsp. pissardii,,294
Parque del Oeste,https://wikidata.org/entity/Q2369398,Cedrus atlantica,https://wikidata.org/entity/Q623489,240
Parque del Oeste,https://wikidata.org/entity/Q2369398,Populus nigra,https://wikidata.org/entity/Q147064,225
Parque del Oeste,https://wikidata.org/entity/Q2369398,Otros,,2553
JARDÍN DE LA QUINTA DE LOS MOLINOS,,Prunus dulcis Marcona,,1079
JARDÍN DE LA QUINTA DE LOS MOLINOS,,Pinus halepensis,https://wikidata.org/entity/Q211457,1056
JARDÍN DE LA QUINTA DE LOS MOLINOS,,Cupressus sempervirens,https://wikidata.org/entity/Q147513,606
JARDÍN DE LA QUINTA DE LOS MOLINOS,,"Prunus dulcis ""Desmayo Largueta""",,389
JARDÍN DE LA QUINTA DE LOS MOLINOS,,Pinus pinea,https://wikidata.org/entity/Q106094,334
JARDÍN DE LA QUINTA DE LOS MOLINOS,,Eucalyptus sp,,302
JARDÍN DE LA QUINTA DE LOS MOLINOS,,Cedrus deodara,https://wikidata.org/entity/Q146935,243
JARDÍN DE LA QUINTA DE LOS MOLINOS,,Platanus × hispanica,https://wikidata.org/entity/Q161374,239
JARDÍN DE LA QUINTA DE LOS MOLINOS,,Prunus dulcis,https://wikidata.org/entity/Q39918,226
JARDÍN DE LA QUINTA DE LOS MOLINOS,,Ulmus sp,,221
JARDÍN DE LA QUINTA DE LOS MOLINOS,,Gleditsia triacanthos,https://wikidata.org/entity/Q157650,207
JARDÍN DE LA QUINTA DE LOS MOLINOS,,Otros,,1766
