Name,Neighborhood_id,Neighborhood_name,wikidata_neighborhood,District_id,District_name,wikidata_district,Latitud,Longitud
Aparcament Estació Barcelona Nord,5,Fort Pienc,http://www.wikidata.org/entity/Q2107762,2,Eixample,http://www.wikidata.org/entity/Q64124,41.39428317007616,2.1819772536329864
Aparcament Saba Travessera De Gràcia 17*21,26,Sant Gervasi-Galvany,http://www.wikidata.org/entity/Q3389521,5,Sarrià-Sant Gervasi,http://www.wikidata.org/entity/Q1765582,41.394357096989886,2.1465402684895087
Aparcament  Bamsa Siracusa,31,Vila de Gràcia,http://www.wikidata.org/entity/Q2741611,6,Gràcia,http://www.wikidata.org/entity/Q852697,41.4017648067868,2.160778367107828
Aparcament Bamsa Tarradellas Ii,9,La Nova Esquerra de l'Eixample,http://www.wikidata.org/entity/Q1026658,2,Eixample,http://www.wikidata.org/entity/Q64124,41.38649998993496,2.142809867115534
Aparcament Gràcia Motos,31,Vila de Gràcia,http://www.wikidata.org/entity/Q2741611,6,Gràcia,http://www.wikidata.org/entity/Q852697,41.40325056371274,2.152337897961678
Aparcament  Bamsa Illa Raval,1,El Raval,http://www.wikidata.org/entity/Q1758503,1,Ciutat Vella,http://www.wikidata.org/entity/Q941385,41.379299348603666,2.1698414264941084
Aparcament Bamsa Urgell,10,Sant Antoni,http://www.wikidata.org/entity/Q720994,2,Eixample,http://www.wikidata.org/entity/Q64124,41.37942591140186,2.1624828825280162
Aparcament Badajoz-glòries,66,El Parc i la Llacuna del Poblenou,http://www.wikidata.org/entity/Q3294440,10,Sant Martí,http://www.wikidata.org/entity/Q250935,41.40214569463325,2.1910365479757883
Aparcament Marqués De Mulhacén,21,Pedralbes,http://www.wikidata.org/entity/Q2562684,4,Les Corts,http://www.wikidata.org/entity/Q959944,41.394170973988224,2.114996855762526
My Beautiful Parking,4,"Sant Pere, Santa Caterina i la Ribera",http://www.wikidata.org/entity/Q2442135,1,Ciutat Vella,http://www.wikidata.org/entity/Q941385,41.38457355931776,2.178808841656823
Aparcament Ciutat De Teatre,11,El Poble-sec,http://www.wikidata.org/entity/Q980253,3,Sants-Montjuïc,http://www.wikidata.org/entity/Q753075,41.37211368215284,2.1575201184301034
Aparcament  Saba Diputació,7,Dreta de l'Eixample,http://www.wikidata.org/entity/Q1904302,2,Eixample,http://www.wikidata.org/entity/Q64124,41.391855189205266,2.1687714242930265
Aparcament Bamsa Paral·lel  *plaça Raquel Meller,1,El Raval,http://www.wikidata.org/entity/Q1758503,1,Ciutat Vella,http://www.wikidata.org/entity/Q941385,41.3753582904812,2.1698642049927455
Aparcament  Saba Joan Güell,19,Les Corts,http://www.wikidata.org/entity/Q3296693,4,Les Corts,http://www.wikidata.org/entity/Q959944,41.38776184859274,2.128759712013643
