ID-EVENTO,TITULO,PRECIO,GRATUITO,LARGA-DURACION,DIAS-SEMANA,DIAS-EXCLUIDOS,FECHA,FECHA-FIN,HORA,DESCRIPCION,CONTENT-URL,TITULO-ACTIVIDAD,URL-INSTALACION,NOMBRE-INSTALACION,NOMBRE-INSTALACION URI,ACCESIBILIDAD-INSTALACION,Dirección,DISTRITO-INSTALACION,DISTRITO-INSTALACION URI,BARRIO-INSTALACION,BARRIO-INSTALACION URI,CODIGO-POSTAL-INSTALACION,TIPO,AUDIENCIA
50052187,39º Certamen Coreográfico de Madrid,Ver en página web,0,1,"L,M,X,J,V,S,D",,2025-12-03T00:00:00Z,2025-12-07T23:59:00Z,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=42781ae2c7839910VgnVCM100000891ecb1aRCRD,39º Certamen Coreográfico de Madrid,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro de Cultura Contemporánea Conde Duque,https://wikidata.org/entity/Q56426480,1,CALLE CONDE DUQUE 9,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,28015,DanzaBaile,Todos los públicos
50013813,Abierto x Obras,Entrada libre hasta completar aforo,1,1,"M,X,J,V,S,D",,2025-10-16T00:00:00Z,2026-01-31T23:59:00Z,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=acaca2c35cf48910VgnVCM200000f921e388RCRD,Abierto x Obras,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ef686a9ee7336110VgnVCM1000000b205a0aRCRD,Matadero Madrid,https://wikidata.org/entity/Q56427524,1,PLAZA LEGAZPI 8,Arganzuela,https://wikidata.org/entity/Q2000929,La Chopera,https://wikidata.org/entity/Q3773750,28045,ProgramacionDestacadaAgendaCultura,Todos los públicos
50043503,Acción teatro,Actividad gratuita con inscripción previa,0,1,V,,2025-10-24T00:00:00Z,2026-01-30T23:59:00Z,,"El teatro es utilizar nuestros cinco sentidos para percibir el mundo desde la propia subjetividad, es aceptar el hecho de que somos seres singulares y poner un altavoz a nuestra originalidad. ¿Te atreves a hacer teatro con nosotros? Con la Técnica Conectiva (técnicas teatrales psicofísicas), trataremos de influir en nuestra percepción del mundo y nuestro entorno. Además, hacer teatro ayuda a nuestra autopercepción y nos lleva a reconocernos como creadores y como seres humanos únicos. En este curso trabajaremos sobre todas esas capacidades que nos hacen más flexibles y dinámicos. Porque creemos que todas las personas deben tener un espacio seguro donde desarrollar su arte interpretativo, creando juntos entornos saludables que además mejoren indudablemente nuestra salud emocional y nuestras capacidades. Imparte: Con Causa. Organiza: Casa del Lector. Público: Para mayores de 65 años.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2d41770f8ca19910VgnVCM200000f921e388RCRD,El arte de vivir,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ef686a9ee7336110VgnVCM1000000b205a0aRCRD,Matadero Madrid,https://wikidata.org/entity/Q56427524,1,PLAZA LEGAZPI 8,Arganzuela,https://wikidata.org/entity/Q2000929,La Chopera,https://wikidata.org/entity/Q3773750,28045,ProgramacionDestacadaAgendaCultura,Mayores
12622331,Acompañar en la pérdida,Ver en página web,0,1,M,23/9/2025;30/9/2025;7/10/2025;21/10/2025;28/10/2025;4/11/2025;18/11/2025;25/11/2025;2/12/2025;9/12/2025;23/12/2025;30/12/2025;,2025-09-16T00:00:00Z,2025-12-16T23:59:00Z,17:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=197023e4c84d3910VgnVCM2000001f4a900aRCRD,Acompañar en la pérdida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=70d879262ef5d010VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal José Saramago de Santiago de Compostela - Conxo,https://wikidata.org/entity/Q85820002,"1,5,6",AVENIDA MONFORTE DE LEMOS 38,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,El Pilar,https://wikidata.org/entity/Q3773964,28029,CursosTalleres,Todos los públicos
50011576,AH AH AH - Retiro,Ver en página web,1,0,,,2025-10-04T00:00:00Z,2025-10-04T23:59:00Z,18:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=611730905b038910VgnVCM200000f921e388RCRD,AH AH AH,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=35e53d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Casa de Vacas,https://wikidata.org/entity/Q108328073,1,PASEO COLOMBIA 1,Retiro,https://wikidata.org/entity/Q2002296,Jerónimos,https://wikidata.org/entity/Q10306766,28009,DanzaBaile,Familias
50072099,Al son de los palillos,Ver en página web,1,0,,,2025-10-12T00:00:00Z,2025-10-12T23:59:00Z,19:30,Palos Flamencos donde alternamos flamenco puro con temas de cálsico español. Un viaje de los sentidos por la rica cultura de nuestra tierra.,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6af2540e43a99910VgnVCM100000891ecb1aRCRD,Calle abierta en Puente de Vallecas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c723cd641b99e210VgnVCM2000000c205a0aRCRD,Amós Acero park,https://wikidata.org/entity/Q117837260,2,CALLE SIERRA MOLINA 1,Puente de Vallecas,https://wikidata.org/entity/Q2003054,San Diego,https://wikidata.org/entity/Q11946851,28053,ActividadesCalleArteUrbano,Todos los públicos
50065971,Álex Conde Trío. En colaboración con AIEnRuta Jazz,Entrada: 5 euros Descuentos disponibles,0,0,,,2025-11-16T00:00:00Z,2025-11-16T23:59:00Z,19:00,"Sucede cada año y la presente edición de JAZZMADRID no iba a revelarse diferente. Esta cita, que se celebra desde 2014, sigue firme en su empeño en seguir siendo uno de los centros neurálgicos del jazz en Europa. Su presencia entre nosotros es un fenómeno que la gran afición aguarda expectante cada vez que llega el otoño, y su centro de gravedad permanente sigue estando asociado a la solera cultural de los enclaves municipales donde todo acontece: Teatro Fernán Gómez, CentroCentro y Conteporánea Condeduque. E, igualmente, en aquellas otras escenas donde tienen lugar los conciertos de la enseña Villanos del Jazz, que, por quinto año consecutivo, forman parte de la programación oficial del festival: Teatros Pavón, Albéniz, Barceló y Fernán Gómez, Sala Villanos y diferentes auditorios de hasta cuatro localidades de la Comunidad de Madrid. La muestra se desarrollará a lo largo de los meses de septiembre, octubre y noviembre, abriendo ante los ojos y oídos de la afición un vistoso muestrario jazzístico. En el programa se prestará mucha atención, por una parte, a la defensa de la más estricta ortodoxia histórica del género, y, por otra, estará muy presente también la vigilancia de la reivindicación de su libertad como esencia de la condición creadora que tiene esta música para experimentar. La idea sigue rastreando el mejor modo de mostrar todas las tendencias y coloraciones imaginables, renovadoras y también tradicionales del jazz, pues solo con el compendio de ambas es posible mantener activa la memoria, el reto fundamental de cualquiera de nuestras sociedades, ocupadas demasiadas veces en la ilusión del presente, aunque éste ya sea historia cuando se empieza a ser consciente del paso del tiempo. Luis Martín, director artístico Álex Conde Trío 16.11.2025 19.00 h  De educación pianística clásica, Álex Conde se formó en el Conservatorio Jose Iturbi de Valencia y, con posterioridad, prosiguió estudios en el Berklee College of Music de Boston y en el Aaron Copland Conservatory de Nueva York. En estas últimas instituciones  es importante saber que recibió clases de músicos como Antonio Hart, Mike Mossman o Jimmy Heath, e, igualmente, tuvo ocasión de formarse junto al gran pianista Barry Harris. Ya de regreso a España, y sobre todo si se ha tenido ocasión de verle alguna vez en directo, solo cabe decir que Álex Conde es en nuestra escena actual del jazz un talento musical en auge. Fundador del Piano Flamenco Institute de Nueva York, único dedicado al estudio de esta disciplina, la importante labor de este pianista como impulsor del patrimonio musical nacional es tan incontestable como impagable. Una labor que lleva a cabo dentro y fuera de nuestro país, haciendo síntesis entre el flamenco y el jazz. Esta actividad, cuya principal motivación es la defensa, conservación y divulgación del patrimonio cultural nacional, está muy bien condensada en el proyecto Piano y Copla. Esencialmente, Piano y copla es una grabación realizada a dúo con el histórico tonadillero Alejandro Conde, y en ella se realiza un acercamiento de esta música al público contemporáneo. Igualmente, en otro proyecto, Álex Conde y los Indultados, se percibe una innovadora y atrevida revisión de la música popular tradicional española. Y, con todo, la importante labor de Álex Conde en la recuperación del patrimonio nacional, prosigue en otro de sus proyectos, este más reciente, llamado Álex Conde Flamenco Jazz. En él se sigue apostando por la recuperación, revitalización y transmisión de la cultura musical española. Álex Conde Flamenco Jazz revisa y recupera a Falla, Albéniz o Turina, versionando obras como La Danza del Fuego, El Albaicín, El Puerto, la Nana de Sevilla o la Andaluza, títulos que pertenecen al repertorio clásico español con un acercamiento prodigioso a la improvisación, pero manteniendo, sin embargo, la esencia y el respeto a la obra original. Seis son, finalmente, los discos con los que cuenta Álex Conde, todos con música en su interio",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8e75cb4bf7a79910VgnVCM200000f921e388RCRD,JAZZMADRID 25,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5ff519cd7bcee210VgnVCM1000000b205a0aRCRD,CentroCentro,https://wikidata.org/entity/Q56426764,1,PLAZA CIBELES 1,Retiro,https://wikidata.org/entity/Q2002296,Jerónimos,https://wikidata.org/entity/Q10306766,28014,ProgramacionDestacadaAgendaCultura,Todos los públicos
50042085,Altar de muertos 2025,Ver en página web,0,1,"M,X,J,V,S,D",,2025-10-01T00:00:00Z,2025-10-31T23:59:00Z,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=46570ad1e7919910VgnVCM200000f921e388RCRD,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ba663d0b5e71c010VgnVCM1000000b205a0aRCRD,Fernán Gómez Centro Cultural de la Villa,https://wikidata.org/entity/Q56426930,"1,6",PLAZA COLON 4,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,28001,ProgramacionDestacadaAgendaCultura,Todos los públicos
50001393,American Buffalo,"Entrada general - 22 euros Tarifa reducida: 18 euros : Carné joven, mayores de 65, familia numerosa, discapacidad y acompañante, desempleados y carné de bibliotecas municipales de Madrid. Otros: Amigos TFG - 15 euros. Grupos -  17 euros Discapacidad y acompañante - 18 euros Personas con movilidad reducida y acompañante - 16 euros Menores de 14 años - 17 euros Reservas de Amigos TFG.  Contacto y reservas: taquilla.fernangomez@teatrofernangomez.es  /  amigos@teatrofernangomez.com. Tlfonos: 913184733 /734. Este espectáculo está acogido al Joven Bono Cultural.  Si tienes entre 16 y 26 años, apúntate AQUÍ al JOBO y ven gratis .",0,1,"M,X,J,V,S,D",,2025-09-16T00:00:00Z,2025-10-26T23:59:00Z,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=21a420854c8e7910VgnVCM200000f921e388RCRD,American Buffalo,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ba663d0b5e71c010VgnVCM1000000b205a0aRCRD,Fernán Gómez Centro Cultural de la Villa,https://wikidata.org/entity/Q56426930,"1,6",PLAZA COLON 4,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,28001,ProgramacionDestacadaAgendaCultura,Mayores
50072086,Anís Guateque,Ver en página web,1,0,,,2025-10-11T00:00:00Z,2025-10-11T23:59:00Z,21:00,"Anís Guateque nace de las ganas de baile y jarana, de juerga y alegría. Por eso hacemos cumbia, porque es primitiva, de raíz, y nos mueve porque es sonrisa y desenfado. Además de un repertorio con tintes cubanos y psicodélicos, nuestras cumbitas están sazonadas de un toque muy de cosecha propia, muy 'de los madriles'. El rasguido de la botella de anís, los versos que homenajean lo castizo de nuestras tierras de aquí y allá, los jaleos y 'oles' que se escapan de nuestras gargantas? todo eso es Anís Guateque. Desde el primer trío originario se irán poco a poco aproximando al proyecto varias personillas ansiosas de jarana y sabor, hasta el punto de conformar la actual formación, la verdadera hermandad del Anís Guateque: ocho músicos y músicas bien 'redi' para hacerte menear las caderas. Si afinas el oído, podrás escucharlos cantar, allá en un local de la periferia madrileña, 'Si la cumbia fuera flor hoy sería primavera'.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8c7f540e43a99910VgnVCM100000891ecb1aRCRD,Calle abierta infantil,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c723cd641b99e210VgnVCM2000000c205a0aRCRD,Amós Acero park,https://wikidata.org/entity/Q117837260,2,CALLE SIERRA MOLINA 1,Puente de Vallecas,https://wikidata.org/entity/Q2003054,San Diego,https://wikidata.org/entity/Q11946851,28053,ActividadesCalleArteUrbano,Todos los públicos
