expID,date,loc1,loc2,numLoc,district,distCode,accidentType,weather,vehicleType,personType,ageRange,sex,utmXcoord,utmYcoord,alcoholPositive,person_id,long,lat
2025S000001,2025-01-27T20:50:00Z,CALLE LOS URQUIZA,CALLE GOMEZ DE AVELLANEDA,24,Ciudad Lineal,15,Collision with pedestrian,rain,passenger car,Driver,30 to 34 years,Male,445270.0,4475979.0,False,1,-3.6452577173678824,40.43265168459141
2025S000001,2025-01-27T20:50:00Z,CALLE LOS URQUIZA,CALLE GOMEZ DE AVELLANEDA,24,Ciudad Lineal,15,Collision with pedestrian,rain,passenger car,Passenger,21 to 24 years,Female,445270.0,4475979.0,False,2,-3.6452577173678824,40.43265168459141
2025S000001,2025-01-27T20:50:00Z,CALLE LOS URQUIZA,CALLE GOMEZ DE AVELLANEDA,24,Ciudad Lineal,15,Collision with pedestrian,rain,passenger car,Pedestrian,55 to 59 years,Male,445270.0,4475979.0,False,3,-3.6452577173678824,40.43265168459141
2025S000004,2025-03-10T20:29:00Z,"AVDA. BAVIERA, 6",,6,Salamanca,4,Collision with pedestrian,rain,passenger car,Driver,60 to 64 years,Male,443662.0,4477013.0,False,1,-3.6643062574358938,40.441859126031126
2025S000004,2025-03-10T20:29:00Z,"AVDA. BAVIERA, 6",,6,Salamanca,4,Collision with pedestrian,rain,passenger car,Pedestrian,Más de 74 years,Female,443662.0,4477013.0,False,2,-3.6643062574358938,40.441859126031126
2025S000056,2025-01-01T00:49:00Z,CALLE LOPEZ DE HOYOS,CALLE ROS DE OLANO,140,Chamartín,5,Front-to-side collision,SKC,moped,Driver,30 to 34 years,Male,442966.0,4477385.0,False,1,-3.672545967719491,40.445162834516395
2025S000056,2025-01-01T00:49:00Z,CALLE LOPEZ DE HOYOS,CALLE ROS DE OLANO,140,Chamartín,5,Front-to-side collision,SKC,passenger car,Driver,40 to 44 years,Male,442966.0,4477385.0,False,2,-3.672545967719491,40.445162834516395
2025S000056,2025-01-01T00:49:00Z,CALLE LOPEZ DE HOYOS,CALLE ROS DE OLANO,140,Chamartín,5,Front-to-side collision,SKC,passenger car,Passenger,40 to 44 years,Female,442966.0,4477385.0,False,3,-3.672545967719491,40.445162834516395
2025S000057,2025-01-01T02:20:00Z,GTA. RIO ZANCARA,CALLE ARROYO DE POZUELO,1,Moncloa-Aravaca,9,Side collision,SKC,passenger car,Driver,21 to 24 years,Male,433911.0,4478290.0,False,1,-3.779408142330029,40.45264483727239
2025S000057,2025-01-01T02:20:00Z,GTA. RIO ZANCARA,CALLE ARROYO DE POZUELO,1,Moncloa-Aravaca,9,Side collision,SKC,passenger car,Driver,45 to 49 years,Male,433911.0,4478290.0,False,2,-3.779408142330029,40.45264483727239
