NOMBRE PARQUE,wikidata_URI,id_treecount,ESPECIE,UNIDADES 2024
El Retiro Park,https://www.wikidata.org/entity/Q1131807,JARDINES DEL BUEN RETIRO_Aesculus hippocastanum,Aesculus hippocastanum,5715
El Retiro Park,https://www.wikidata.org/entity/Q1131807,JARDINES DEL BUEN RETIRO_Platanus x hispanica,Platanus x hispanica,971
El Retiro Park,https://www.wikidata.org/entity/Q1131807,JARDINES DEL BUEN RETIRO_Cercis siliquastrum,Cercis siliquastrum,692
El Retiro Park,https://www.wikidata.org/entity/Q1131807,JARDINES DEL BUEN RETIRO_Celtis australis,Celtis australis,588
El Retiro Park,https://www.wikidata.org/entity/Q1131807,JARDINES DEL BUEN RETIRO_Cupressus sempervirens,Cupressus sempervirens,537
El Retiro Park,https://www.wikidata.org/entity/Q1131807,JARDINES DEL BUEN RETIRO_Gleditsia triacanthos,Gleditsia triacanthos,508
El Retiro Park,https://www.wikidata.org/entity/Q1131807,JARDINES DEL BUEN RETIRO_Ulmus minor,Ulmus minor,429
El Retiro Park,https://www.wikidata.org/entity/Q1131807,JARDINES DEL BUEN RETIRO_Styphnolobium japonicum,Styphnolobium japonicum,392
El Retiro Park,https://www.wikidata.org/entity/Q1131807,JARDINES DEL BUEN RETIRO_Pinus pinea,Pinus pinea,346
El Retiro Park,https://www.wikidata.org/entity/Q1131807,JARDINES DEL BUEN RETIRO_Ulmus pumila,Ulmus pumila,328
El Retiro Park,https://www.wikidata.org/entity/Q1131807,JARDINES DEL BUEN RETIRO_Acer campestre,Acer campestre,321
El Retiro Park,https://www.wikidata.org/entity/Q1131807,JARDINES DEL BUEN RETIRO_Otros,Otros,5498
Parque del Oeste,https://www.wikidata.org/entity/Q2369398,PARQUE DEL OESTE - TEMPLO DE DEBOD_Pinus pinea,Pinus pinea,938
Parque del Oeste,https://www.wikidata.org/entity/Q2369398,PARQUE DEL OESTE - TEMPLO DE DEBOD_Styphnolobium japonicum,Styphnolobium japonicum,797
Parque del Oeste,https://www.wikidata.org/entity/Q2369398,PARQUE DEL OESTE - TEMPLO DE DEBOD_Platanus x hispanica,Platanus x hispanica,556
Parque del Oeste,https://www.wikidata.org/entity/Q2369398,PARQUE DEL OESTE - TEMPLO DE DEBOD_Ligustrum japonicum,Ligustrum japonicum,395
Parque del Oeste,https://www.wikidata.org/entity/Q2369398,PARQUE DEL OESTE - TEMPLO DE DEBOD_Populus alba 'Bolleana',Populus alba 'Bolleana',390
Parque del Oeste,https://www.wikidata.org/entity/Q2369398,PARQUE DEL OESTE - TEMPLO DE DEBOD_Cedrus deodara,Cedrus deodara,346
Parque del Oeste,https://www.wikidata.org/entity/Q2369398,PARQUE DEL OESTE - TEMPLO DE DEBOD_Celtis australis,Celtis australis,296
Parque del Oeste,https://www.wikidata.org/entity/Q2369398,PARQUE DEL OESTE - TEMPLO DE DEBOD_Prunus cerasifera  subsp. pissardii,Prunus cerasifera  subsp. pissardii,294
Parque del Oeste,https://www.wikidata.org/entity/Q2369398,PARQUE DEL OESTE - TEMPLO DE DEBOD_Cedrus atlantica,Cedrus atlantica,240
Parque del Oeste,https://www.wikidata.org/entity/Q2369398,PARQUE DEL OESTE - TEMPLO DE DEBOD_Populus nigra,Populus nigra,225
Parque del Oeste,https://www.wikidata.org/entity/Q2369398,PARQUE DEL OESTE - TEMPLO DE DEBOD_Otros,Otros,2553
Quinta de los Molinos Park,https://www.wikidata.org/entity/Q6062479,JARDÍN DE LA QUINTA DE LOS MOLINOS_Prunus dulcis Marcona,Prunus dulcis Marcona,1079
Quinta de los Molinos Park,https://www.wikidata.org/entity/Q6062479,JARDÍN DE LA QUINTA DE LOS MOLINOS_Pinus halepensis,Pinus halepensis,1056
Quinta de los Molinos Park,https://www.wikidata.org/entity/Q6062479,JARDÍN DE LA QUINTA DE LOS MOLINOS_Cupressus sempervirens,Cupressus sempervirens,606
Quinta de los Molinos Park,https://www.wikidata.org/entity/Q6062479,"JARDÍN DE LA QUINTA DE LOS MOLINOS_Prunus dulcis ""Desmayo Largueta""","Prunus dulcis ""Desmayo Largueta""",389
Quinta de los Molinos Park,https://www.wikidata.org/entity/Q6062479,JARDÍN DE LA QUINTA DE LOS MOLINOS_Pinus pinea,Pinus pinea,334
Quinta de los Molinos Park,https://www.wikidata.org/entity/Q6062479,JARDÍN DE LA QUINTA DE LOS MOLINOS_Eucalyptus sp,Eucalyptus sp,302
Quinta de los Molinos Park,https://www.wikidata.org/entity/Q6062479,JARDÍN DE LA QUINTA DE LOS MOLINOS_Cedrus deodara,Cedrus deodara,243
Quinta de los Molinos Park,https://www.wikidata.org/entity/Q6062479,JARDÍN DE LA QUINTA DE LOS MOLINOS_Platanus x hispanica,Platanus x hispanica,239
Quinta de los Molinos Park,https://www.wikidata.org/entity/Q6062479,JARDÍN DE LA QUINTA DE LOS MOLINOS_Prunus dulcis,Prunus dulcis,226
Quinta de los Molinos Park,https://www.wikidata.org/entity/Q6062479,JARDÍN DE LA QUINTA DE LOS MOLINOS_Ulmus sp,Ulmus sp,221
Quinta de los Molinos Park,https://www.wikidata.org/entity/Q6062479,JARDÍN DE LA QUINTA DE LOS MOLINOS_Gleditsia triacanthos,Gleditsia triacanthos,207
Quinta de los Molinos Park,https://www.wikidata.org/entity/Q6062479,JARDÍN DE LA QUINTA DE LOS MOLINOS_Otros,Otros,1766
Quinta de la Fuente del Berro Park,https://www.wikidata.org/entity/Q5411839,JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO_Ligustrum lucidum,Ligustrum lucidum,294
Quinta de la Fuente del Berro Park,https://www.wikidata.org/entity/Q5411839,JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO_Cupressus sempervirens,Cupressus sempervirens,132
Quinta de la Fuente del Berro Park,https://www.wikidata.org/entity/Q5411839,JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO_Aesculus hippocastanum,Aesculus hippocastanum,77
Quinta de la Fuente del Berro Park,https://www.wikidata.org/entity/Q5411839,JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO_Prunus cerasifera  subsp. pissardii,Prunus cerasifera  subsp. pissardii,62
Quinta de la Fuente del Berro Park,https://www.wikidata.org/entity/Q5411839,JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO_Cedrus deodara,Cedrus deodara,54
Quinta de la Fuente del Berro Park,https://www.wikidata.org/entity/Q5411839,JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO_Acacia dealbata,Acacia dealbata,47
Quinta de la Fuente del Berro Park,https://www.wikidata.org/entity/Q5411839,JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO_Populus alba 'Bolleana',Populus alba 'Bolleana',29
Quinta de la Fuente del Berro Park,https://www.wikidata.org/entity/Q5411839,JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO_Trachycarpus fortunei,Trachycarpus fortunei,28
Quinta de la Fuente del Berro Park,https://www.wikidata.org/entity/Q5411839,JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO_Platanus x hispanica,Platanus x hispanica,26
Quinta de la Fuente del Berro Park,https://www.wikidata.org/entity/Q5411839,JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO_Celtis australis,Celtis australis,25
Quinta de la Fuente del Berro Park,https://www.wikidata.org/entity/Q5411839,JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO_Otros,Otros,330
El Capricho Park,https://www.wikidata.org/entity/Q2054035,JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA_Cercis siliquastrum,Cercis siliquastrum,760
El Capricho Park,https://www.wikidata.org/entity/Q2054035,JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA_Cupressus sempervirens,Cupressus sempervirens,349
El Capricho Park,https://www.wikidata.org/entity/Q2054035,JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA_Gleditsia triacanthos,Gleditsia triacanthos,208
El Capricho Park,https://www.wikidata.org/entity/Q2054035,JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA_Pinus pinea,Pinus pinea,189
El Capricho Park,https://www.wikidata.org/entity/Q2054035,JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA_Fraxinus angustifolia,Fraxinus angustifolia,179
El Capricho Park,https://www.wikidata.org/entity/Q2054035,JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA_Platanus x hispanica,Platanus x hispanica,139
El Capricho Park,https://www.wikidata.org/entity/Q2054035,JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA_Quercus robur,Quercus robur,135
