year,month,zone,country_wikidata_uri,city_wikidata_uri,intensity
2024,Enero,Interior 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,103019
,,En el 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,231233
,,Entre 1er y 2潞 cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,350079
,,En el 2er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,196928
,,Entre  2潞 cintur贸n y M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,411976
,,M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,205079
,,Entre M-30 y M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,311273
,,Exterior a M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,25776
2024,Febrero,Interior 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,105578
,,En el 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,239172
,,Entre 1er y 2潞 cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,357444
,,En el 2er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,203746
,,Entre  2潞 cintur贸n y M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,427609
,,M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,218266
,,Entre M-30 y M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,316499
,,Exterior a M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,26204
2024,Marzo,Interior 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,107578
,,En el 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,239024
,,Entre 1er y 2潞 cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,352766
,,En el 2er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,194529
,,Entre  2潞 cintur贸n y M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,408308
,,M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,201427
,,Entre M-30 y M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,303242
,,Exterior a M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,25117
2024,Abril,Interior 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,108532
,,En el 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,249727
,,Entre 1er y 2潞 cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,367178
,,En el 2er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,209909
,,Entre  2潞 cintur贸n y M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,440596
,,M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,218867
,,Entre M-30 y M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,320078
,,Exterior a M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,26273
2024,Mayo,Interior 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,107020
,,En el 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,239528
,,Entre 1er y 2潞 cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,372802
,,En el 2er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,205501
,,Entre  2潞 cintur贸n y M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,438740
,,M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,213818
,,Entre M-30 y M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,313265
,,Exterior a M-40,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,26782
2024,Junio,Interior 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,108746
,,En el 1er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,235710
,,Entre 1er y 2潞 cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,384247
,,En el 2er  cintur贸n,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,209560
,,Entre  2潞 cintur贸n y M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,438064
,,M-30,http://www.wikidata.org/entity/Q29,http://www.wikidata.org/entity/Q2807,218942
