id,name,network_wikidata_uri,operator_wikidata_uri,city_wikidata_uri,address,totalDocks,availableDocks,latitude,longitude
2,2 - Metro Callao,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Miguel Moya nº 1,",27,15,40.4204,-3.70569
3,3 - Plaza Conde Suchil,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Plaza Conde Surchill, 4 ,",19,3,40.430322,-3.707254
4,4 - Malasaña,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Manuela Malasaña nº 3,",27,2,40.428626,-3.7025
5,5 - Fuencarral,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Fuencarral nº 106,",27,4,40.428521,-3.702135
6,6 - Colegio Arquitectos,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Hortaleza nº 63,",19,9,40.424148,-3.698447
7,7 - Hortaleza,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Hortaleza nº 75,",19,18,40.425191,-3.697771
8,8 - Metro Alonso Martínez,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Plaza de Alonso Martínez nº 6,",24,19,40.427868,-3.69544
9,9 - Plaza de San Miguel,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Plaza de San Miguel nº 10,",24,12,40.415606,-3.709508
10,10 - Marqués de la Ensenada,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Marqués de la Ensenada (junto a edif, Centro Colón),",23,21,40.425403,-3.692104
11,11 - Plaza del Dos de Mayo,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle San Andrés nº 18 - 20,",23,2,40.427,-3.7036
12,12 - San Hermenegildo,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle San Bernardo nº 85 - 87,",27,11,40.428467,-3.706141
13,13 - Conde Duque,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Conde Duque nº 22,",23,3,40.4273,-3.7105
14,14 - Ventura Rodríguez,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Ventura Rodríguez, 3,",27,5,40.426043,-3.713307
15,15 - Norte,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle norte nº 10,",19,1,40.426238,-3.707445
16,16 - San Bernardo,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle San Bernardo nº 22,",19,7,40.422937,-3.707481
17,17 - Plaza de Carlos Cambronero,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Plaza de Carlos Cambronero nº 2,",23,6,40.423126,-3.704166
