num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2025S000056,2025-01-01T00:00:00Z,0:49:00,Call. Lopez De Hoyos / Call. Ros De Olano,140,5,Chamartin,Colision Fronto-lateral,Despejado,Ciclomotor,Conductor,30-34,M,7,Asistencia sanitaria sólo en el lugar del accidente,442966,4477385,false,
2025S000056,2025-01-01T00:00:00Z,0:49:00,Call. Lopez De Hoyos / Call. Ros De Olano,140,5,Chamartin,Colision Fronto-lateral,Despejado,Turismo,Conductor,40-44,M,14,Sin asistencia sanitaria,442966,4477385,false,
2025S000056,2025-01-01T00:00:00Z,0:49:00,Call. Lopez De Hoyos / Call. Ros De Olano,140,5,Chamartin,Colision Fronto-lateral,Despejado,Turismo,Pasajero,40-44,F,14,Sin asistencia sanitaria,442966,4477385,false,
2025S000057,2025-01-01T00:00:00Z,2:20:00,Gta. Rio Zancara / Call. Arroyo De Pozuelo,1,9,Moncloa-aravaca,Colision Lateral,Despejado,Turismo,Conductor,21-24,M,,,433911,4478290,false,
2025S000057,2025-01-01T00:00:00Z,2:20:00,Gta. Rio Zancara / Call. Arroyo De Pozuelo,1,9,Moncloa-aravaca,Colision Lateral,Despejado,Turismo,Conductor,45-49,M,,,433911,4478290,false,
2025S000058,2025-01-01T00:00:00Z,3:18:00,"Call. Gallur, 489",489,10,Latina,Choque Contra Obstaculo Fijo,Despejado,Turismo,Conductor,18-20,M,14,Sin asistencia sanitaria,437019,4471984,true,
2025S000060,2025-01-01T00:00:00Z,4:00:00,Call. Luchana / Call. Eguilaz,16,7,Chamberi,Colision Lateral,Despejado,Maquinaria de obras,Conductor,55-59,M,,,440567,4475699,false,
2025S000060,2025-01-01T00:00:00Z,4:00:00,Call. Luchana / Call. Eguilaz,16,7,Chamberi,Colision Lateral,Despejado,Turismo,Conductor,Desconocido,Desconocido,,,440567,4475699,false,
2025S000061,2025-01-01T00:00:00Z,3:30:00,"Avda. Pablo Iglesias, 50",50,6,Tetuan,Colision Fronto-lateral,,Turismo,Conductor,50-54,M,,,439772,4477959,false,
2025S000061,2025-01-01T00:00:00Z,3:30:00,"Avda. Pablo Iglesias, 50",50,6,Tetuan,Colision Fronto-lateral,,Turismo,Conductor,Desconocido,Desconocido,,,439772,4477959,false,
2025S000063,2025-01-01T00:00:00Z,6:58:00,"Call. Princesa, 28",28,1,Centro,Alcance,Despejado,Motocicleta hasta 125cc,Conductor,30-34,M,14,Sin asistencia sanitaria,439427,4475473,true,
2025S000063,2025-01-01T00:00:00Z,6:58:00,"Call. Princesa, 28",28,1,Centro,Alcance,Despejado,Motocicleta hasta 125cc,Pasajero,35-39,F,,,439427,4475473,false,
2025S000063,2025-01-01T00:00:00Z,6:58:00,"Call. Princesa, 28",28,1,Centro,Alcance,Despejado,Turismo,Conductor,40-44,M,14,Sin asistencia sanitaria,439427,4475473,false,
2025S000064,2025-01-01T00:00:00Z,7:10:00,Paseo. Artilleros / Call. Calahorra,6,19,Vicalvaro,Choque Contra Obstaculo Fijo,,Turismo,Conductor,30-34,F,,,448291,4473199,true,
2025S000064,2025-01-01T00:00:00Z,7:10:00,Paseo. Artilleros / Call. Calahorra,6,19,Vicalvaro,Choque Contra Obstaculo Fijo,,Turismo,Conductor,Desconocido,Desconocido,,,448291,4473199,false,
2025S000065,2025-01-01T00:00:00Z,7:30:00,Call. Camino De Los Vinateros / Call. Corregidor Diego De Valderrabano,5,14,Moratalaz,Colision Fronto-lateral,Despejado,Turismo,Conductor,25-29,F,,,444161,4473548,false,
