num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,same_as_wikidata_distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,same_as_wikidata_tipo_vehiculo,tipo_persona,rango_edad,sexo,same_as_wikidata_sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2025S000056,2025-01-01T00:00:00Z,00:49,call. lopez de hoyos / call. ros de olano,140,5,chamartin,https://www.wikidata.org/entity/Q1766348,colision fronto-lateral,despejado,motorcycle,https://www.wikidata.org/entity/Q34493,conductor,30-34,man,https://www.wikidata.org/entity/Q8441,7,asistencia sanitaria sólo en el lugar del accidente,442966,4477385,false,
2025S000056,2025-01-01T00:00:00Z,00:49,call. lopez de hoyos / call. ros de olano,140,5,chamartin,https://www.wikidata.org/entity/Q1766348,colision fronto-lateral,despejado,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,40-44,man,https://www.wikidata.org/entity/Q8441,14,sin asistencia sanitaria,442966,4477385,false,
2025S000056,2025-01-01T00:00:00Z,00:49,call. lopez de hoyos / call. ros de olano,140,5,chamartin,https://www.wikidata.org/entity/Q1766348,colision fronto-lateral,despejado,passenger car,https://www.wikidata.org/entity/Q1144312,pasajero,40-44,woman,https://www.wikidata.org/entity/Q467,14,sin asistencia sanitaria,442966,4477385,false,
2025S000057,2025-01-01T00:00:00Z,02:20,gta. rio zancara / call. arroyo de pozuelo,1,9,moncloa-aravaca,https://www.wikidata.org/entity/Q2017682,colision lateral,despejado,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,21-24,man,https://www.wikidata.org/entity/Q8441,,,433911,4478290,false,
2025S000057,2025-01-01T00:00:00Z,02:20,gta. rio zancara / call. arroyo de pozuelo,1,9,moncloa-aravaca,https://www.wikidata.org/entity/Q2017682,colision lateral,despejado,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,45-49,man,https://www.wikidata.org/entity/Q8441,,,433911,4478290,false,
2025S000058,2025-01-01T00:00:00Z,03:18,"call. gallur, 489",489,10,latina,https://www.wikidata.org/entity/Q794954,choque contra obstaculo fijo,despejado,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,18-20,man,https://www.wikidata.org/entity/Q8441,14,sin asistencia sanitaria,437019,4471984,true,
2025S000060,2025-01-01T00:00:00Z,04:00,call. luchana / call. eguilaz,16,7,chamberi,https://www.wikidata.org/entity/Q1763370,colision lateral,despejado,heavy equipment,https://www.wikidata.org/entity/Q874311,conductor,55-59,man,https://www.wikidata.org/entity/Q8441,,,440567,4475699,false,
2025S000060,2025-01-01T00:00:00Z,04:00,call. luchana / call. eguilaz,16,7,chamberi,https://www.wikidata.org/entity/Q1763370,colision lateral,despejado,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,desconocido,anonymous,https://www.wikidata.org/entity/Q4233718,,,440567,4475699,false,
2025S000061,2025-01-01T00:00:00Z,03:30,"avda. pablo iglesias, 50",50,6,tetuan,https://www.wikidata.org/entity/Q1773540,colision fronto-lateral,,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,50-54,man,https://www.wikidata.org/entity/Q8441,,,439772,4477959,false,
2025S000061,2025-01-01T00:00:00Z,03:30,"avda. pablo iglesias, 50",50,6,tetuan,https://www.wikidata.org/entity/Q1773540,colision fronto-lateral,,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,desconocido,anonymous,https://www.wikidata.org/entity/Q4233718,,,439772,4477959,false,
