num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,same_as_wikidata_district,tipo_accidente,estado_meteorológico,tipo_vehiculo,same_as_wikidata_tipo_vehiculo,tipo_persona,rango_edad,sexo,same_as_wikidata_sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2025S000056,01/01/2025,00:49:00,CALL. LOPEZ DE HOYOS / CALL. ROS DE OLANO,140,5,Chamartín,hhtps://wikidata.org/entity/Q1766348,Colisión fronto-lateral,Despejado,moped,https://wikidata.org/entity/Q201783,Conductor,De 30 a 34 años,male,https://wikidata.org/entity/Q6581097,7,Asistencia sanitaria sólo en el lugar del accidente,442966,4477385,false,
2025S000056,01/01/2025,00:49:00,CALL. LOPEZ DE HOYOS / CALL. ROS DE OLANO,140,5,Chamartín,hhtps://wikidata.org/entity/Q1766348,Colisión fronto-lateral,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,De 40 a 44 años,male,https://wikidata.org/entity/Q6581097,14,Sin asistencia sanitaria,442966,4477385,false,
2025S000056,01/01/2025,00:49:00,CALL. LOPEZ DE HOYOS / CALL. ROS DE OLANO,140,5,Chamartín,hhtps://wikidata.org/entity/Q1766348,Colisión fronto-lateral,Despejado,car,https://wikidata.org/entity/Q1420,Pasajero,De 40 a 44 años,female,https://wikidata.org/entity/Q6581072,14,Sin asistencia sanitaria,442966,4477385,false,
2025S000057,01/01/2025,02:20:00,GTA. RIO ZANCARA / CALL. ARROYO DE POZUELO,1,9,Moncloa-Aravaca,hhtps://wikidata.org/entity/Q2017682,Colisión lateral,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,De 21 a 24 años,male,https://wikidata.org/entity/Q6581097,,,433911,4478290,false,
2025S000057,01/01/2025,02:20:00,GTA. RIO ZANCARA / CALL. ARROYO DE POZUELO,1,9,Moncloa-Aravaca,hhtps://wikidata.org/entity/Q2017682,Colisión lateral,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,De 45 a 49 años,male,https://wikidata.org/entity/Q6581097,,,433911,4478290,false,
2025S000058,01/01/2025,03:18:00,"CALL. GALLUR, 489",489,10,Latina,hhtps://wikidata.org/entity/Q794954,Choque contra obstáculo fijo,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,De 18 a 20 años,male,https://wikidata.org/entity/Q6581097,14,Sin asistencia sanitaria,437019,4471984,true,
2025S000060,01/01/2025,04:00:00,CALL. LUCHANA / CALL. EGUILAZ,16,7,Chamberí,hhtps://wikidata.org/entity/Q1763370,Colisión lateral,Despejado,heavy equipment,https://wikidata.org/entity/Q874311,Conductor,De 55 a 59 años,male,https://wikidata.org/entity/Q6581097,,,440567,4475699,false,
2025S000060,01/01/2025,04:00:00,CALL. LUCHANA / CALL. EGUILAZ,16,7,Chamberí,hhtps://wikidata.org/entity/Q1763370,Colisión lateral,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,Desconocido,unknown,https://wikidata.org/entity/Q24238356,,,440567,4475699,false,
2025S000061,01/01/2025,03:30:00,"AVDA. PABLO IGLESIAS, 50",50,6,Tetuán,hhtps://wikidata.org/entity/Q1773540,Colisión fronto-lateral,,car,https://wikidata.org/entity/Q1420,Conductor,De 50 a 54 años,male,https://wikidata.org/entity/Q6581097,,,439772,4477959,false,
2025S000061,01/01/2025,03:30:00,"AVDA. PABLO IGLESIAS, 50",50,6,Tetuán,hhtps://wikidata.org/entity/Q1773540,Colisión fronto-lateral,,car,https://wikidata.org/entity/Q1420,Conductor,Desconocido,unknown,https://wikidata.org/entity/Q24238356,,,439772,4477959,false,
2025S000063,01/01/2025,06:58:00,"CALL. PRINCESA, 28",28,1,Centro,hhtps://wikidata.org/entity/Q1763376,Alcance,Despejado,motorcycle,https://wikidata.org/entity/Q34493,Conductor,De 30 a 34 años,male,https://wikidata.org/entity/Q6581097,14,Sin asistencia sanitaria,439427,4475473,true,
2025S000063,01/01/2025,06:58:00,"CALL. PRINCESA, 28",28,1,Centro,hhtps://wikidata.org/entity/Q1763376,Alcance,Despejado,motorcycle,https://wikidata.org/entity/Q34493,Pasajero,De 35 a 39 años,female,https://wikidata.org/entity/Q6581072,,,439427,4475473,false,
2025S000063,01/01/2025,06:58:00,"CALL. PRINCESA, 28",28,1,Centro,hhtps://wikidata.org/entity/Q1763376,Alcance,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,De 40 a 44 años,male,https://wikidata.org/entity/Q6581097,14,Sin asistencia sanitaria,439427,4475473,false,
2025S000064,01/01/2025,07:10:00,PASEO. ARTILLEROS / CALL. CALAHORRA,6,19,Vicálvaro,hhtps://wikidata.org/entity/Q589403,Choque contra obstáculo fijo,,car,https://wikidata.org/entity/Q1420,Conductor,De 30 a 34 años,female,https://wikidata.org/entity/Q6581072,,,448291,4473199,true,
2025S000064,01/01/2025,07:10:00,PASEO. ARTILLEROS / CALL. CALAHORRA,6,19,Vicálvaro,hhtps://wikidata.org/entity/Q589403,Choque contra obstáculo fijo,,car,https://wikidata.org/entity/Q1420,Conductor,Desconocido,unknown,https://wikidata.org/entity/Q24238356,,,448291,4473199,false,
2025S000064,01/01/2025,07:10:00,PASEO. ARTILLEROS / CALL. CALAHORRA,6,19,Vicálvaro,hhtps://wikidata.org/entity/Q589403,Choque contra obstáculo fijo,,car,https://wikidata.org/entity/Q1420,Conductor,Desconocido,unknown,https://wikidata.org/entity/Q24238356,,,448291,4473199,false,
2025S000065,01/01/2025,07:30:00,CALL. CAMINO DE LOS VINATEROS / CALL. CORREGIDOR DIEGO DE VALDERRABANO,5,14,Moratalaz,hhtps://wikidata.org/entity/Q2076109,Colisión fronto-lateral,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,De 25 a 29 años,female,https://wikidata.org/entity/Q6581072,,,444161,4473548,false,
2025S000065,01/01/2025,07:30:00,CALL. CAMINO DE LOS VINATEROS / CALL. CORREGIDOR DIEGO DE VALDERRABANO,5,14,Moratalaz,hhtps://wikidata.org/entity/Q2076109,Colisión fronto-lateral,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,De 45 a 49 años,male,https://wikidata.org/entity/Q6581097,,,444161,4473548,false,
2025S000069,01/01/2025,07:50:00,CALL. MIGUEL PALACIOS / AVDA. PEÑA PRIETA,4,13,Puente de Vallecas,hhtps://wikidata.org/entity/Q2003054,Choque contra obstáculo fijo,Despejado,motorcycle,https://wikidata.org/entity/Q34493,Conductor,Desconocido,unknown,https://wikidata.org/entity/Q24238356,,,443545,4472565,false,
2025S000069,01/01/2025,07:50:00,CALL. MIGUEL PALACIOS / AVDA. PEÑA PRIETA,4,13,Puente de Vallecas,hhtps://wikidata.org/entity/Q2003054,Choque contra obstáculo fijo,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,Desconocido,unknown,https://wikidata.org/entity/Q24238356,,,443545,4472565,false,
2025S000069,01/01/2025,07:50:00,CALL. MIGUEL PALACIOS / AVDA. PEÑA PRIETA,4,13,Puente de Vallecas,hhtps://wikidata.org/entity/Q2003054,Choque contra obstáculo fijo,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,Desconocido,unknown,https://wikidata.org/entity/Q24238356,,,443545,4472565,false,
2025S000069,01/01/2025,07:50:00,CALL. MIGUEL PALACIOS / AVDA. PEÑA PRIETA,4,13,Puente de Vallecas,hhtps://wikidata.org/entity/Q2003054,Choque contra obstáculo fijo,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,Desconocido,unknown,https://wikidata.org/entity/Q24238356,,,443545,4472565,false,
2025S000069,01/01/2025,07:50:00,CALL. MIGUEL PALACIOS / AVDA. PEÑA PRIETA,4,13,Puente de Vallecas,hhtps://wikidata.org/entity/Q2003054,Choque contra obstáculo fijo,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,Desconocido,unknown,https://wikidata.org/entity/Q24238356,,,443545,4472565,false,
2025S000070,01/01/2025,08:05:00,AVDA. ALBUFERA / CALL. CANTALAPIEDRA,140,13,Puente de Vallecas,hhtps://wikidata.org/entity/Q2003054,Alcance,Despejado,van,https://wikidata.org/entity/Q193468,Conductor,De 55 a 59 años,female,https://wikidata.org/entity/Q6581072,,,444319,4471444,false,
2025S000070,01/01/2025,08:05:00,AVDA. ALBUFERA / CALL. CANTALAPIEDRA,140,13,Puente de Vallecas,hhtps://wikidata.org/entity/Q2003054,Alcance,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,Desconocido,unknown,https://wikidata.org/entity/Q24238356,,,444319,4471444,false,
2025S000072,01/01/2025,07:30:00,"CALL. EMBALSE DE NAVACERRADA, 35",35,18,Villa de Vallecas,hhtps://wikidata.org/entity/Q1947988,Alcance,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,De 21 a 24 años,male,https://wikidata.org/entity/Q6581097,,,449221,4467966,false,
2025S000072,01/01/2025,07:30:00,"CALL. EMBALSE DE NAVACERRADA, 35",35,18,Villa de Vallecas,hhtps://wikidata.org/entity/Q1947988,Alcance,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,Desconocido,unknown,https://wikidata.org/entity/Q24238356,,,449221,4467966,false,
2025S000072,01/01/2025,07:30:00,"CALL. EMBALSE DE NAVACERRADA, 35",35,18,Villa de Vallecas,hhtps://wikidata.org/entity/Q1947988,Alcance,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,Desconocido,unknown,https://wikidata.org/entity/Q24238356,,,449221,4467966,false,
2025S000074,01/01/2025,10:00:00,"CALL. MATEO INURRIA, 13",13,5,Chamartín,hhtps://wikidata.org/entity/Q1766348,Otro,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,De 50 a 54 años,male,https://wikidata.org/entity/Q6581097,,,441824,4479788,false,
2025S000076,01/01/2025,08:00:00,"CALL. MISTERIOS, 8",8,15,Ciudad Lineal,hhtps://wikidata.org/entity/Q1763694,Colisión fronto-lateral,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,De 45 a 49 años,male,https://wikidata.org/entity/Q6581097,14,Sin asistencia sanitaria,445740,4476666,true,
2025S000076,01/01/2025,08:00:00,"CALL. MISTERIOS, 8",8,15,Ciudad Lineal,hhtps://wikidata.org/entity/Q1763694,Colisión fronto-lateral,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,Desconocido,unknown,https://wikidata.org/entity/Q24238356,,,445740,4476666,false,
2025S000076,01/01/2025,08:00:00,"CALL. MISTERIOS, 8",8,15,Ciudad Lineal,hhtps://wikidata.org/entity/Q1763694,Colisión fronto-lateral,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,Desconocido,unknown,https://wikidata.org/entity/Q24238356,,,445740,4476666,false,
2025S000079,01/01/2025,09:20:00,"CALL. LUIS MARTINEZ FEDUCHI, 66",66,16,Hortaleza,hhtps://wikidata.org/entity/Q1928529,Choque contra obstáculo fijo,,car,https://wikidata.org/entity/Q1420,Conductor,De 21 a 24 años,male,https://wikidata.org/entity/Q6581097,14,Sin asistencia sanitaria,445608,4483449,false,
