Year,No2_Value,Tipo territorio,Value
1985,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Fuenlabrada,Otros,45.3
1985,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Orusco,Hauteroche,-
1985,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Atazar El,Hauteroche,-
1985,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Villa del Prado,Hauteroche,-
1985,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Arganda del Rey,Hauteroche,25.0
1985,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Aranjuez,Hauteroche,-
1985,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Alcorc贸n,Hauteroche,36.9
1985,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Alcobendas,Hauteroche,61.4
1985,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Rivas-Vaciamadrid,Hauteroche,-
1985,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Getafe,Hauteroche,-
1985,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Algete,Hauteroche,-
1985,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Guadalix de la Sierra,Hauteroche,-
1985,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Parla,Hauteroche,-
1985,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en San Mart铆n de Valdeiglesias,Hauteroche,-
1985,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Coslada,Hauteroche,86.9
1985,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Colmenar Viejo,Hauteroche,-
1985,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Collado Villalba,Hauteroche,-
1985,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Torrej贸n de Ardoz,Hauteroche,-
1985,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Pozuelo de Alarc贸n,Hauteroche,-
1985,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en M贸stoles,Hauteroche,44.6
1985,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Majadahonda,Hauteroche,-
1985,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Legan茅s,Hauteroche,62.8
1985,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Valdemoro,Hauteroche,-
1985,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Puerto de Cotos,Hauteroche,-
1985,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en San Sebasti谩n de los Reyes,Hauteroche,-
1985,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en las Rozas de Madrid (Las),Hauteroche,-
1985,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Alcal谩 de Henares,Hauteroche,-
1985,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Villarejo de Salvan茅s,Hauteroche,-
1986,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Rivas-Vaciamadrid,Hauteroche,-
1986,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Coslada,Hauteroche,-
1986,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Aranjuez,Hauteroche,-
1986,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Torrej贸n de Ardoz,Hauteroche,-
1986,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Getafe,Hauteroche,-
1986,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Pozuelo de Alarc贸n,Hauteroche,-
1986,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Atazar El,Hauteroche,-
1986,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en M贸stoles,Hauteroche,-
1986,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Algete,Hauteroche,-
1986,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Majadahonda,Hauteroche,-
1986,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Alcorc贸n,Hauteroche,-
1986,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Legan茅s,Hauteroche,-
1986,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Guadalix de la Sierra,Hauteroche,-
1986,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Valdemoro,Hauteroche,-
1986,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Arganda del Rey,Hauteroche,-
1986,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Puerto de Cotos,Hauteroche,-
1986,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Alcobendas,Hauteroche,-
1986,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en San Sebasti谩n de los Reyes,Hauteroche,-
1986,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en San Mart铆n de Valdeiglesias,Hauteroche,-
1986,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en las Rozas de Madrid (Las),Hauteroche,-
1986,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Villa del Prado,Hauteroche,-
1986,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Alcal谩 de Henares,Hauteroche,-
1986,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Villarejo de Salvan茅s,Hauteroche,-
1986,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Colmenar Viejo,Hauteroche,-
1986,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Fuenlabrada,Hauteroche,-
1986,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Orusco,Hauteroche,-
1986,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Collado Villalba,Hauteroche,-
1987,Valor medio de la contaminaci贸n atmosf茅rica por di贸xido de nitr贸geno en Coslada,Hauteroche,-
