id_participacion,num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,wikidata_distrito_uri,wikidata_distrito_qid,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2023S040280-0,2023S040280,2024-01-04,14:09:00,Avda. Niceto Alcala Zamora / Autov. M-11,3,16,Hortaleza,http://www.wikidata.org/entity/Q1928529,Q1928529,Colisión Fronto-lateral,Lluvia Débil,Motocicleta > 125cc,Conductor,De 55 A 59 Años,Desconocido,2,Ingreso Inferior O Igual A 24 Horas,444913,4481427,,
2023S040280-1,2023S040280,2024-01-04,14:09:00,Avda. Niceto Alcala Zamora / Autov. M-11,3,16,Hortaleza,http://www.wikidata.org/entity/Q1928529,Q1928529,Colisión Fronto-lateral,Lluvia Débil,Turismo,Conductor,De 55 A 59 Años,Desconocido,14,Sin Asistencia Sanitaria,444913,4481427,,
2023S040309-2,2023S040309,2024-02-15,14:05:00,Call. Tesoro / Call. Minas,18,1,Centro,http://www.wikidata.org/entity/Q1763376,Q1763376,Colisión Fronto-lateral,Lluvia Débil,Bicicleta,Conductor,De 25 A 29 Años,Desconocido,7,Asistencia Sanitaria Sólo En El Lugar Del Accidente,440123,4475170,,
2023S040309-3,2023S040309,2024-02-15,14:05:00,Call. Tesoro / Call. Minas,18,1,Centro,http://www.wikidata.org/entity/Q1763376,Q1763376,Colisión Fronto-lateral,Lluvia Débil,Motocicleta Hasta 125cc,Conductor,De 35 A 39 Años,Desconocido,14,Sin Asistencia Sanitaria,440123,4475170,,
2023S040310-4,2023S040310,2024-02-18,10:40:00,Gta. Ruiz Jimenez / Call. San Bernardo,3,7,Chamberí,http://www.wikidata.org/entity/Q1763370,Q1763370,Colisión Lateral,Despejado,Turismo,Conductor,De 25 A 29 Años,Desconocido,,,440137,4475721,,
2023S040310-5,2023S040310,2024-02-18,10:40:00,Gta. Ruiz Jimenez / Call. San Bernardo,3,7,Chamberí,http://www.wikidata.org/entity/Q1763370,Q1763370,Colisión Lateral,Despejado,Turismo,Conductor,De 55 A 59 Años,Desconocido,,,440137,4475721,,
2023S040312-6,2023S040312,2024-02-25,17:20:00,"Call. Pinos Alta, 93",93,6,Tetuán,http://www.wikidata.org/entity/Q1773540,Q1773540,Colisión Lateral,Despejado,Camión Rígido,Conductor,De 25 A 29 Años,Desconocido,14,Sin Asistencia Sanitaria,440709,4480102,,
2023S040312-7,2023S040312,2024-02-25,17:20:00,"Call. Pinos Alta, 93",93,6,Tetuán,http://www.wikidata.org/entity/Q1773540,Q1773540,Colisión Lateral,Despejado,Maquinaria De Obras,Conductor,De 50 A 54 Años,Desconocido,14,Sin Asistencia Sanitaria,440709,4480102,,
2023S040316-8,2023S040316,2024-03-07,14:25:00,Ctra. Barrio De La Fortuna / Call. Pinar De San Jose,14,10,Latina,http://www.wikidata.org/entity/Q794954,Q794954,Alcance,Lluvia Débil,Furgoneta,Conductor,De 60 A 64 Años,Desconocido,,,433983,4468473,,
2023S040316-9,2023S040316,2024-03-07,14:25:00,Ctra. Barrio De La Fortuna / Call. Pinar De San Jose,14,10,Latina,http://www.wikidata.org/entity/Q794954,Q794954,Alcance,Lluvia Débil,Turismo,Conductor,De 25 A 29 Años,Desconocido,,,433983,4468473,,
2023S040319-10,2023S040319,2024-03-27,8:10:00,"Ctra. Ciudad Universitaria, 0",0,9,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Q2017682,Choque Contra Obstáculo Fijo,,Turismo,Conductor,De 21 A 24 Años,Desconocido,,,437064,4478229,,
2024S000001-11,2024S000001,2024-01-01,1:20:00,"Autov. M-30, 08nl00",08NL00,3,Retiro,http://www.wikidata.org/entity/Q2002296,Q2002296,Colisión Múltiple,Despejado,Turismo,Conductor,De 25 A 29 Años,Desconocido,14,Sin Asistencia Sanitaria,443927,4473998,,
2024S000001-12,2024S000001,2024-01-01,1:20:00,"Autov. M-30, 08nl00",08NL00,3,Retiro,http://www.wikidata.org/entity/Q2002296,Q2002296,Colisión Múltiple,Despejado,Turismo,Conductor,De 25 A 29 Años,Desconocido,14,Sin Asistencia Sanitaria,443927,4473998,,
2024S000001-13,2024S000001,2024-01-01,1:20:00,"Autov. M-30, 08nl00",08NL00,3,Retiro,http://www.wikidata.org/entity/Q2002296,Q2002296,Colisión Múltiple,Despejado,Turismo,Conductor,De 30 A 34 Años,Desconocido,14,Sin Asistencia Sanitaria,443927,4473998,,
2024S000001-14,2024S000001,2024-01-01,1:20:00,"Autov. M-30, 08nl00",08NL00,3,Retiro,http://www.wikidata.org/entity/Q2002296,Q2002296,Colisión Múltiple,Despejado,Turismo,Conductor,De 55 A 59 Años,Desconocido,14,Sin Asistencia Sanitaria,443927,4473998,,
2024S000001-15,2024S000001,2024-01-01,1:20:00,"Autov. M-30, 08nl00",08NL00,3,Retiro,http://www.wikidata.org/entity/Q2002296,Q2002296,Colisión Múltiple,Despejado,Turismo,Pasajero,De 18 A 20 Años,Desconocido,1,Atención En Urgencias Sin Posterior Ingreso,443927,4473998,,
2024S000001-16,2024S000001,2024-01-01,1:20:00,"Autov. M-30, 08nl00",08NL00,3,Retiro,http://www.wikidata.org/entity/Q2002296,Q2002296,Colisión Múltiple,Despejado,Turismo,Pasajero,De 25 A 29 Años,Desconocido,14,Sin Asistencia Sanitaria,443927,4473998,,
2024S000001-17,2024S000001,2024-01-01,1:20:00,"Autov. M-30, 08nl00",08NL00,3,Retiro,http://www.wikidata.org/entity/Q2002296,Q2002296,Colisión Múltiple,Despejado,Turismo,Pasajero,De 30 A 34 Años,Desconocido,14,Sin Asistencia Sanitaria,443927,4473998,,
2024S000001-18,2024S000001,2024-01-01,1:20:00,"Autov. M-30, 08nl00",08NL00,3,Retiro,http://www.wikidata.org/entity/Q2002296,Q2002296,Colisión Múltiple,Despejado,Turismo,Pasajero,De 30 A 34 Años,Desconocido,14,Sin Asistencia Sanitaria,443927,4473998,,
2024S000001-19,2024S000001,2024-01-01,1:20:00,"Autov. M-30, 08nl00",08NL00,3,Retiro,http://www.wikidata.org/entity/Q2002296,Q2002296,Colisión Múltiple,Despejado,Turismo,Pasajero,De 55 A 59 Años,Desconocido,14,Sin Asistencia Sanitaria,443927,4473998,,
2024S000002-20,2024S000002,2024-01-01,2:45:00,"Call. Puerto Alto, 48",48,13,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,Q2003054,Choque Contra Obstáculo Fijo,Despejado,Turismo,Conductor,De 50 A 54 Años,Desconocido,,,443249,4471571,,
2024S000002-21,2024S000002,2024-01-01,2:45:00,"Call. Puerto Alto, 48",48,13,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,Q2003054,Choque Contra Obstáculo Fijo,Despejado,Turismo,Conductor,Desconocido,Desconocido,,,443249,4471571,,
2024S000002-22,2024S000002,2024-01-01,2:45:00,"Call. Puerto Alto, 48",48,13,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,Q2003054,Choque Contra Obstáculo Fijo,Despejado,Turismo,Conductor,Desconocido,Desconocido,,,443249,4471571,,
2024S000002-23,2024S000002,2024-01-01,2:45:00,"Call. Puerto Alto, 48",48,13,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,Q2003054,Choque Contra Obstáculo Fijo,Despejado,Turismo,Conductor,Desconocido,Desconocido,,,443249,4471571,,
